,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
248,2023,SD,South Dakota,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
249,2023,SD,South Dakota,RES,residential,432794,12.25,647.24087,5285.39813,number of customers,cents per kilowatthour,million dollars,million kilowatthours
250,2023,TN,Tennessee,ALL,all sectors,3581261,10.79,10668.35569,98865.20793,number of customers,cents per kilowatthour,million dollars,million kilowatthours
251,2023,TN,Tennessee,COM,commercial,521801,11.82,4133.38206,34956.33685,number of customers,cents per kilowatthour,million dollars,million kilowatthours
252,2023,TN,Tennessee,IND,industrial,1025,6.37,1409.53476,22122.72432,number of customers,cents per kilowatthour,million dollars,million kilowatthours
253,2023,TN,Tennessee,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
254,2023,TN,Tennessee,RES,residential,3058435,12.27,5125.43887,41786.14676,number of customers,cents per kilowatthour,million dollars,million kilowatthours
255,2023,TX,Texas,ALL,all sectors,14064725,9.99,48634.81533,486786.78554,number of customers,cents per kilowatthour,million dollars,million kilowatthours
256,2023,TX,Texas,RES,residential,12145036,14.32,23756.64949,165917.18783,number of customers,cents per kilowatthour,million dollars,million kilowatthours
257,2023,TX,Texas,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
258,2023,TX,Texas,IND,industrial,353952,6.63,10999.21034,165954.54307,number of customers,cents per kilowatthour,million dollars,million kilowatthours
259,2023,TX,Texas,COM,commercial,1565734,8.96,13864.75435,154727.42847,number of customers,cents per kilowatthour,million dollars,million kilowatthours
260,2023,US,U.S. Total,ALL,all sectors,161945488,12.72,491123.77049,3861342.27374,number of customers,cents per kilowatthour,million dollars,million kilowatthours
261,2023,US,U.S. Total,COM,commercial,19367884,12.74,175231.14249,1374922.05246,number of customers,cents per kilowatthour,million dollars,million kilowatthours
262,2023,US,U.S. Total,IND,industrial,1080766,8.06,82565.90114,1024949.26249,number of customers,cents per kilowatthour,million dollars,million kilowatthours
263,2023,US,U.S. Total,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
264,2023,US,U.S. Total,RES,residential,141496756,15.98,232462.79565,1454666.63552,number of customers,cents per kilowatthour,million dollars,million kilowatthours
265,2023,UT,Utah,ALL,all sectors,1364543,9.03,2983.84316,33051.48427,number of customers,cents per kilowatthour,million dollars,million kilowatthours
266,2023,UT,Utah,RES,residential,1213815,11.2,1247.62511,11142.90097,number of customers,cents per kilowatthour,million dollars,million kilowatthours
267,2023,UT,Utah,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
268,2023,UT,Utah,IND,industrial,10797,6.99,604.27125,8640.72137,number of customers,cents per kilowatthour,million dollars,million kilowatthours
269,2023,UT,Utah,COM,commercial,139930,8.52,1125.26908,13213.50529,number of customers,cents per kilowatthour,million dollars,million kilowatthours
270,2023,VA,Virginia,ALL,all sectors,4111450,10.92,14035.2144,128508.01839,number of customers,cents per kilowatthour,million dollars,million kilowatthours
271,2023,VA,Virginia,RES,residential,3655480,14.34,6271.25235,43724.77037,number of customers,cents per kilowatthour,million dollars,million kilowatthours
272,2023,VA,Virginia,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
273,2023,VA,Virginia,IND,industrial,3847,8.83,1496.78738,16947.72076,number of customers,cents per kilowatthour,million dollars,million kilowatthours
274,2023,VA,Virginia,COM,commercial,452122,9.23,6242.21678,67595.91728,number of customers,cents per kilowatthour,million dollars,million kilowatthours
275,2023,VT,Vermont,ALL,all sectors,382587,17.52,937.15892,5349.54052,number of customers,cents per kilowatthour,million dollars,million kilowatthours
276,2023,VT,Vermont,RES,residential,320092,20.81,450.97326,2166.74403,number of customers,cents per kilowatthour,million dollars,million kilowatthours
277,2023,VT,Vermont,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
278,2023,VT,Vermont,IND,industrial,249,11.34,145.67888,1284.27349,number of customers,cents per kilowatthour,million dollars,million kilowatthours
279,2023,VT,Vermont,COM,commercial,62246,17.94,340.50678,1898.523,number of customers,cents per kilowatthour,million dollars,million kilowatthours
280,2023,WA,Washington,ALL,all sectors,3765268,9.61,8520.97792,88701.82511,number of customers,cents per kilowatthour,million dollars,million kilowatthours
281,2023,WA,Washington,RES,residential,3331698,10.98,4260.19042,38787.00776,number of customers,cents per kilowatthour,million dollars,million kilowatthours
282,2023,WA,Washington,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
283,2023,WA,Washington,IND,industrial,27187,6.35,1310.81036,20647.90774,number of customers,cents per kilowatthour,million dollars,million kilowatthours
284,2023,WA,Washington,COM,commercial,406378,10.08,2939.27836,29163.51839,number of customers,cents per kilowatthour,million dollars,million kilowatthours
285,2023,WI,Wisconsin,ALL,all sectors,3207875,12.63,8715.47263,69010.48577,number of customers,cents per kilowatthour,million dollars,million kilowatthours
286,2023,WI,Wisconsin,RES,residential,2833054,16.77,3756.66759,22396.40384,number of customers,cents per kilowatthour,million dollars,million kilowatthours
287,2023,WI,Wisconsin,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
288,2023,WI,Wisconsin,IND,industrial,5618,8.6,2015.08753,23419.77916,number of customers,cents per kilowatthour,million dollars,million kilowatthours
289,2023,WI,Wisconsin,COM,commercial,369201,12.69,2943.52156,23193.16389,number of customers,cents per kilowatthour,million dollars,million kilowatthours
290,2023,WNC,West North Central,ALL,all sectors,11601133,10.49,33074.76007,315194.66324,number of customers,cents per kilowatthour,million dollars,million kilowatthours
291,2023,WNC,West North Central,RES,residential,9960714,13.07,14193.10361,108552.17598,number of customers,cents per kilowatthour,million dollars,million kilowatthours
292,2023,WNC,West North Central,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
293,2023,WNC,West North Central,IND,industrial,130506,7.75,7951.1469,102568.93002,number of customers,cents per kilowatthour,million dollars,million kilowatthours
294,2023,WNC,West North Central,COM,commercial,1509910,10.5,10926.07632,104033.08219,number of customers,cents per kilowatthour,million dollars,million kilowatthours
295,2023,WSC,West South Central,ALL,all sectors,20477130,9.76,68421.30477,700849.14452,number of customers,cents per kilowatthour,million dollars,million kilowatthours
296,2023,WSC,West South Central,RES,residential,17673112,13.58,32657.55009,240411.3106,number of customers,cents per kilowatthour,million dollars,million kilowatthours
297,2023,WSC,West South Central,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
298,2023,WSC,West South Central,IND,industrial,426838,6.5,16072.2516,247158.34805,number of customers,cents per kilowatthour,million dollars,million kilowatthours
299,2023,WSC,West South Central,COM,commercial,2377174,9.23,19676.11162,213081.13644,number of customers,cents per kilowatthour,million dollars,million kilowatthours
300,2023,WV,West Virginia,IND,industrial,11077,7.24,1061.85655,14662.724,number of customers,cents per kilowatthour,million dollars,million kilowatthours
301,2023,WV,West Virginia,COM,commercial,151541,11.05,792.67559,7176.37393,number of customers,cents per kilowatthour,million dollars,million kilowatthours
302,2023,WV,West Virginia,ALL,all sectors,1028895,10.27,3295.31804,32075.77827,number of customers,cents per kilowatthour,million dollars,million kilowatthours
303,2023,WV,West Virginia,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
